tag-local-identifier,timestamp,location-lat,location-long
T8,2005-3-1 16:08:00,-24.3946106,31.72736003
T8,2005-3-1 17:03:00,-24.39161987,31.72746989
T8,2005-3-1 18:03:00,-24.38796997,31.7286499
T8,2005-3-1 19:03:00,-24.38751017,31.72826945
T8,2005-3-1 20:03:00,-24.38717041,31.72779948
T8,2005-3-1 21:03:00,-24.38590088,31.72713013
T8,2005-3-1 22:03:00,-24.38975016,31.7157491
T8,2005-3-1 23:03:00,-24.38154907,31.71832072
T8,2005-3-2 0:03:00,-24.37757975,31.71824951
T8,2005-3-2 1:03:00,-24.37711995,31.71808065
T8,2005-3-2 2:03:00,-24.37697957,31.71841024
T8,2005-3-2 3:03:00,-24.37693075,31.71846924
T8,2005-3-2 4:03:00,-24.37541097,31.71456909
T8,2005-3-2 5:03:00,-24.36765951,31.70706991
T8,2005-3-2 6:03:00,-24.36774902,31.70705973
T8,2005-3-2 7:03:00,-24.36785075,31.7071106
T8,2005-3-2 8:03:00,-24.36778971,31.70709025
T8,2005-3-2 9:03:00,-24.36819051,31.70671997
T8,2005-3-2 10:03:00,-24.36823934,31.70674032
T8,2005-3-2 11:03:00,-24.36821899,31.7067098
T8,2005-3-2 12:03:00,-24.36828003,31.70674032
T8,2005-3-2 13:03:00,-24.36830037,31.70684001
T8,2005-3-2 14:03:00,-24.36825968,31.70715942
T8,2005-3-2 15:03:00,-24.36335042,31.70445964
T8,2005-3-2 16:03:00,-24.35814006,31.69185994
T8,2005-3-2 17:03:00,-24.34482015,31.68799032
T8,2005-3-2 18:03:00,-24.33894043,31.68649902
T8,2005-3-2 19:03:00,-24.33781942,31.68601074
T8,2005-3-2 20:03:00,-24.3375,31.68602091
T8,2005-3-2 21:03:00,-24.33742065,31.68610026
T8,2005-3-2 22:03:00,-24.33508097,31.68387044
T8,2005-3-2 23:03:00,-24.33494059,31.68354899
T8,2005-3-3 0:03:00,-24.33358968,31.68213908
T8,2005-3-3 1:03:00,-24.3332194,31.6816508
T8,2005-3-3 2:03:00,-24.33264974,31.68024902
T8,2005-3-3 3:03:00,-24.33260905,31.67989909
T8,2005-3-3 4:03:00,-24.33468018,31.6807902
T8,2005-3-3 5:03:00,-24.35253092,31.69045003
T8,2005-3-3 6:03:00,-24.36594035,31.69924927
T8,2005-3-3 7:03:00,-24.38412069,31.70892944
T8,2005-3-3 8:03:00,-24.38722941,31.71387939
T8,2005-3-3 9:03:00,-24.38696899,31.71363932
T8,2005-3-3 10:03:00,-24.38678996,31.71383057
T8,2005-3-3 11:03:00,-24.38649902,31.71373901
T8,2005-3-3 12:03:00,-24.3859904,31.71382039
T8,2005-3-3 13:03:00,-24.38671061,31.71408081
T8,2005-3-3 14:03:00,-24.38648071,31.7144694
T8,2005-3-3 15:03:00,-24.38470052,31.71602987
T8,2005-3-3 16:04:00,-24.38093058,31.72387085
T8,2005-3-3 16:07:00,-24.38071086,31.72424927
T8,2005-3-3 17:03:00,-24.38060099,31.73212077
T8,2005-3-3 18:03:00,-24.37921956,31.73307088
T8,2005-3-3 19:03:00,-24.39199015,31.73520101
T8,2005-3-3 20:03:00,-24.4006307,31.73184001
T8,2005-3-3 21:03:00,-24.40728963,31.73234049
T8,2005-3-3 22:03:00,-24.41288045,31.7314209
T8,2005-3-3 23:03:00,-24.41619059,31.73263957
T8,2005-3-4 0:03:00,-24.41613973,31.73319906
T8,2005-3-4 1:03:00,-24.415979,31.7327596
T8,2005-3-4 2:03:00,-24.42185059,31.73125
T8,2005-3-4 3:03:00,-24.4256897,31.73112996
T8,2005-3-4 4:03:00,-24.42957967,31.73263957
T8,2005-3-4 5:03:00,-24.4394694,31.73633016
T8,2005-3-4 6:03:00,-24.44240926,31.73629964
T8,2005-3-4 7:03:00,-24.4426005,31.73595988
T8,2005-3-4 8:03:00,-24.44318034,31.73616943
T8,2005-3-4 9:03:00,-24.44331055,31.73601074
T8,2005-3-4 10:03:00,-24.44328003,31.73609009
T8,2005-3-4 11:03:00,-24.44326986,31.73611043
T8,2005-3-4 12:03:00,-24.4432902,31.73600057
T8,2005-3-4 13:03:00,-24.44335938,31.73605957
T8,2005-3-4 13:06:00,-24.44333089,31.7360494
T8,2005-3-4 14:03:00,-24.4439799,31.73580933
T8,2005-3-4 15:03:00,-24.45089925,31.73897095
T8,2005-3-4 16:03:00,-24.46229045,31.74037069
T8,2005-3-4 17:03:00,-24.47397054,31.75515951
T8,2005-3-4 18:03:00,-24.48565063,31.77379964
T8,2005-3-4 19:03:00,-24.48884074,31.77512004
T8,2005-3-4 20:03:00,-24.48968099,31.7747701
T8,2005-3-4 21:03:00,-24.49039917,31.77391968
T8,2005-3-4 22:03:00,-24.49039917,31.77394002
T8,2005-3-4 23:03:00,-24.49039917,31.77394002
T8,2005-3-5 0:03:00,-24.49202067,31.77944946
T8,2005-3-5 1:03:00,-24.49191081,31.78108927
T8,2005-3-5 2:03:00,-24.49291992,31.78295898
T8,2005-3-5 3:03:00,-24.49293009,31.78304036
T8,2005-3-5 4:03:00,-24.49238078,31.78720907
T8,2005-3-5 5:03:00,-24.48500977,31.79478963
T8,2005-3-5 6:03:00,-24.49249064,31.79191081
T8,2005-3-5 7:03:00,-24.49696045,31.79568075
T8,2005-3-5 8:03:00,-24.49689941,31.79569906
T8,2005-3-5 9:03:00,-24.49687907,31.7957194
T8,2005-3-5 10:03:00,-24.49687907,31.7957194
T8,2005-3-5 11:03:00,-24.49691976,31.79581095
T8,2005-3-5 12:03:00,-24.49687907,31.79583944
T8,2005-3-5 13:03:00,-24.49678955,31.79581095
T8,2005-3-5 14:03:00,-24.49577026,31.79637044
T8,2005-3-5 15:03:00,-24.48886922,31.80248006
T8,2005-3-5 16:03:00,-24.49129028,31.80370076
T8,2005-3-5 17:03:00,-24.49843953,31.80083008
T8,2005-3-5 18:02:00,-24.50338949,31.79975993
T8,2005-3-5 19:03:00,-24.50454915,31.79958089
T8,2005-3-5 20:03:00,-24.50575968,31.79940999
T8,2005-3-5 21:02:00,-24.50645955,31.79863078
T8,2005-3-5 22:03:00,-24.50646973,31.79857992
T8,2005-3-5 23:02:00,-24.50701904,31.79760946
T8,2005-3-6 0:03:00,-24.50796916,31.79720052
T8,2005-3-6 1:03:00,-24.51208903,31.79524943
T8,2005-3-6 2:03:00,-24.51283976,31.79390055
T8,2005-3-6 3:02:00,-24.51268921,31.79336955
T8,2005-3-6 4:03:00,-24.51268921,31.79333089
T8,2005-3-6 5:03:00,-24.51551921,31.79483032
T8,2005-3-6 6:02:00,-24.51571045,31.79607951
T8,2005-3-6 7:03:00,-24.51570028,31.79608968
T8,2005-3-6 8:02:00,-24.51573079,31.79609985
T8,2005-3-6 9:03:00,-24.51573079,31.7961792
T8,2005-3-6 10:03:00,-24.51573079,31.79607951
T8,2005-3-6 11:02:00,-24.5155599,31.79604085
T8,2005-3-6 12:03:00,-24.51557007,31.79585978
T8,2005-3-6 13:03:00,-24.5155009,31.79569092
T8,2005-3-6 14:03:00,-24.51552938,31.79570923
T8,2005-3-6 15:02:00,-24.52133993,31.79647013
T8,2005-3-6 16:03:00,-24.53408,31.79651082
T8,2005-3-6 17:02:00,-24.54449056,31.79065959
T8,2005-3-6 18:03:00,-24.55292969,31.77659098
T8,2005-3-6 19:03:00,-24.54779053,31.76471965
T8,2005-3-6 20:03:00,-24.54557902,31.7693807
T8,2005-3-6 21:02:00,-24.54154053,31.7704895
T8,2005-3-6 22:03:00,-24.54192912,31.76975098
T8,2005-3-6 23:02:00,-24.54168905,31.76963094
T8,2005-3-7 0:02:00,-24.54282023,31.76824951
T8,2005-3-7 0:06:00,-24.54293009,31.76817017
T8,2005-3-7 1:02:00,-24.54605916,31.7693807
T8,2005-3-7 2:03:00,-24.54606934,31.76939901
T8,2005-3-7 3:03:00,-24.54605916,31.76939087
T8,2005-3-7 4:02:00,-24.54638062,31.76830037
T8,2005-3-7 5:03:00,-24.53855998,31.75540975
T8,2005-3-7 6:02:00,-24.54419963,31.74981079
T8,2005-3-7 7:04:00,-24.54641927,31.74937948
T8,2005-3-7 8:02:00,-24.5461792,31.74927979
T8,2005-3-7 9:03:00,-24.54609985,31.74934082
T8,2005-3-7 10:03:00,-24.54606934,31.74930013
T8,2005-3-7 11:02:00,-24.54611003,31.74934082
T8,2005-3-7 12:02:00,-24.54652913,31.74965007
T8,2005-3-7 13:04:00,-24.54652913,31.74978027
T8,2005-3-7 14:03:00,-24.54482015,31.74940999
T8,2005-3-7 15:03:00,-24.53766073,31.75008952
T8,2005-3-7 16:03:00,-24.54207967,31.7509908
T8,2005-3-7 17:02:00,-24.54265951,31.75358073
T8,2005-3-7 18:04:00,-24.54254964,31.75489909
T8,2005-3-7 19:03:00,-24.54251099,31.75491943
T8,2005-3-7 20:02:00,-24.54236043,31.75504964
T8,2005-3-7 21:03:00,-24.5422994,31.75511068
T8,2005-3-7 22:02:00,-24.54231974,31.75485026
T8,2005-3-7 23:02:00,-24.54159953,31.752889
T8,2005-3-8 0:03:00,-24.54169922,31.75221965
T8,2005-3-8 1:02:00,-24.54187012,31.75164998
T8,2005-3-8 2:03:00,-24.54193929,31.75171916
T8,2005-3-8 3:02:00,-24.54180908,31.75159912
T8,2005-3-8 4:02:00,-24.5418396,31.75163981
T8,2005-3-8 5:02:00,-24.54559937,31.74814046
T8,2005-3-8 6:03:00,-24.55028076,31.75007935
T8,2005-3-8 7:03:00,-24.55886027,31.75581055
T8,2005-3-8 8:02:00,-24.55914917,31.75756022
T8,2005-3-8 9:02:00,-24.55897013,31.75772095
T8,2005-3-8 10:02:00,-24.55950928,31.7575297
T8,2005-3-8 11:02:00,-24.56008911,31.75768026
T8,2005-3-8 12:02:00,-24.55971069,31.75792033
T8,2005-3-8 13:02:00,-24.55861003,31.7577006
T8,2005-3-8 14:02:00,-24.55864054,31.75771077
T8,2005-3-8 15:02:00,-24.56125081,31.75509033
T8,2005-3-8 16:02:00,-24.56866048,31.7620992
